video,class
/mnt/d/data/temp_train_data/broken/C_3_8_10_BU_SMA_09-07_14-44-51_CC_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_10_BU_SMB_09-01_12-57-13_CB_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_10_BU_SMB_09-01_12-57-14_CC_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_10_BU_SYB_09-28_12-10-02_CD_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_11_BU_SMB_09-01_13-00-03_CA_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_11_BU_SMB_09-01_13-00-05_CD_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_12_BU_SMA_09-07_14-49-58_CD_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_12_BU_SMB_09-01_13-02-32_CA_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_12_BU_SMB_09-01_13-02-33_CC_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_12_BU_SYB_09-28_12-17-45_CB_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_13_BU_SYB_09-28_12-23-10_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_14_BU_SMA_09-07_15-33-07_CC_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_14_BU_SYB_09-28_12-24-55_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_15_BU_SMB_09-02_13-27-19_CB_RGB_DF2_M2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_15_BU_SYB_09-28_12-31-53_CA_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_16_BU_SMA_09-07_15-37-33_CB_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_16_BU_SMA_09-07_15-37-33_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_16_BU_SMB_09-01_14-32-36_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_16_BU_SYB_09-28_12-27-35_CC_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_16_BU_SYB_09-28_12-27-35_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_17_BU_SMA_09-07_15-43-36_CB_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_17_BU_SMB_09-01_14-34-33_CA_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_17_BU_SMB_09-01_14-34-33_CB_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_17_BU_SMB_09-01_14-34-35_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_18_BU_SMA_09-07_15-46-05_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_18_BU_SMB_09-01_14-36-33_CC_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_18_BU_SMB_09-01_14-36-34_CD_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_18_BU_SYB_09-28_12-29-37_CB_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_18_BU_SYB_09-28_12-29-37_CC_RGB_DF2_F2_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_19_BU_SMA_09-27_11-25-04_CA_RGB_DF2_M3_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_19_BU_SMB_09-02_15-29-32_CA_RGB_DF2_M3_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_19_BU_SMB_09-02_15-29-32_CB_RGB_DF2_M3_1.0.avi,broken
/mnt/d/data/temp_train_data/broken/C_3_8_19_BU_SYA_10-06_12-26-11_CA_RGB_DF2_M3_1.0.avi,broken
